device,time,dne,srl,srrn,eda
NC04014,2024-10-28T10:49:34.044Z,,,,315683
NC04014,2024-10-28T10:49:34.377Z,,,,317064
NC04014,2024-10-28T10:49:34.710Z,,,,345867
NC04014,2024-10-28T10:49:35.043Z,,,,392162
NC04014,2024-10-28T10:49:35.376Z,,,,402577
NC04014,2024-10-28T10:49:35.709Z,,,,379797
NC04014,2024-10-28T10:49:36.042Z,,,,358649
NC04014,2024-10-28T10:49:36.375Z,,,,347758
NC04014,2024-10-28T10:49:36.708Z,,,,331147
NC04014,2024-10-28T10:49:37.041Z,,,,322082
NC04014,2024-10-28T10:49:37.374Z,,,,324230
NC04014,2024-10-28T10:49:37.707Z,,,,325844
NC04014,2024-10-28T10:49:38.040Z,,,,334961
NC04014,2024-10-28T10:49:38.373Z,,,,339566
NC04014,2024-10-28T10:49:38.706Z,,,,313457
NC04014,2024-10-28T10:49:39.039Z,,,,302442
NC04014,2024-10-28T10:49:39.372Z,,,,299122
NC04014,2024-10-28T10:49:39.705Z,,,,288650
NC04014,2024-10-28T10:49:40.038Z,,,,288141
NC04014,2024-10-28T10:49:40.371Z,,,,283881
NC04014,2024-10-28T10:49:40.704Z,,,,278345
NC04014,2024-10-28T10:49:41.037Z,,,,275146
NC04014,2024-10-28T10:49:41.370Z,,,,277443
NC04014,2024-10-28T10:49:41.703Z,,,,275844
NC04014,2024-10-28T10:49:42.036Z,,,,293557
NC04014,2024-10-28T10:49:42.369Z,,,,300676
NC04014,2024-10-28T10:49:42.702Z,,,,276244
NC04014,2024-10-28T10:49:43.035Z,,,,267809
NC04014,2024-10-28T10:49:43.368Z,,,,269684
NC04014,2024-10-28T10:49:43.701Z,,,,276344
NC04014,2024-10-28T10:49:44.034Z,,,,275645
NC04014,2024-10-28T10:49:44.367Z,,,,272956
NC04014,2024-10-28T10:49:44.700Z,,,,271863
NC04014,2024-10-28T10:49:45.033Z,,,,267513
NC04014,2024-10-28T10:49:45.366Z,,,,265251
NC04014,2024-10-28T10:49:45.699Z,,,,268993
NC04014,2024-10-28T10:49:46.032Z,,,,274448
NC04014,2024-10-28T10:49:46.365Z,,,,272657
NC04014,2024-10-28T10:49:46.698Z,,,,268400
NC04014,2024-10-28T10:49:47.031Z,,,,264956
NC04014,2024-10-28T10:49:47.364Z,,,,261628
NC04014,2024-10-28T10:49:47.697Z,,,,259776
NC04014,2024-10-28T10:49:48.030Z,,,,257541
NC04014,2024-10-28T10:49:48.363Z,,,,263780
NC04014,2024-10-28T10:49:48.696Z,,,,271665
NC04014,2024-10-28T10:49:49.029Z,,,,273353
NC04014,2024-10-28T10:49:49.362Z,,,,270377
NC04014,2024-10-28T10:49:49.695Z,,,,263094
NC04014,2024-10-28T10:49:50.028Z,,,,259095
NC04014,2024-10-28T10:49:50.361Z,,,,268499
NC04014,2024-10-28T10:49:50.694Z,,,,267710
NC04014,2024-10-28T10:49:51.027Z,,,,253288
NC04014,2024-10-28T10:49:51.360Z,,,,248967
NC04014,2024-10-28T10:49:51.693Z,,,,248872
NC04014,2024-10-28T10:49:52.026Z,,,,255508
NC04014,2024-10-28T10:49:52.359Z,,,,258901
NC04014,2024-10-28T10:49:52.692Z,,,,255508
NC04014,2024-10-28T10:49:53.025Z,,,,255121
NC04014,2024-10-28T10:49:53.358Z,,,,257347
NC04014,2024-10-28T10:49:53.691Z,,,,259873
NC04014,2024-10-28T10:49:54.024Z,,,,260263
NC04014,2024-10-28T10:49:54.357Z,,,,255798
NC04014,2024-10-28T10:49:54.690Z,,,,266824
NC04014,2024-10-28T10:49:55.023Z,,,,286819
NC04014,2024-10-28T10:49:55.356Z,,,,277644
NC04014,2024-10-28T10:49:55.689Z,,,,282871
NC04014,2024-10-28T10:49:56.022Z,,,,279649
NC04014,2024-10-28T10:49:56.355Z,,,,258803
NC04014,2024-10-28T10:49:56.688Z,,,,249638
NC04014,2024-10-28T10:49:57.021Z,,,,242022
NC04014,2024-10-28T10:49:57.354Z,,,,240793
NC04014,2024-10-28T10:49:57.687Z,,,,247152
NC04014,2024-10-28T10:49:58.020Z,,,,267513
NC04014,2024-10-28T10:49:58.353Z,,,,272459
NC04014,2024-10-28T10:49:58.686Z,,,,256960
NC04014,2024-10-28T10:49:59.019Z,,,,251364
NC04014,2024-10-28T10:49:59.352Z,,,,250788
NC04014,2024-10-28T10:49:59.685Z,,,,247152
NC04014,2024-10-28T10:50:00.018Z,,,,250308
NC04014,2024-10-28T10:50:00.351Z,,,,253866
NC04014,2024-10-28T10:50:00.684Z,,,,252518
NC04014,2024-10-28T10:50:01.017Z,,,,250117
NC04014,2024-10-28T10:50:01.350Z,,,,246961
NC04014,2024-10-28T10:50:01.683Z,,,,245152
NC04014,2024-10-28T10:50:02.016Z,,,,248967
NC04014,2024-10-28T10:50:02.349Z,,,,252037
NC04014,2024-10-28T10:50:02.682Z,,,,250788
NC04014,2024-10-28T10:50:03.015Z,,,,265447
NC04014,2024-10-28T10:50:03.348Z,,,,277644
NC04014,2024-10-28T10:50:03.681Z,,,,269190
NC04014,2024-10-28T10:50:04.014Z,,,,267020
NC04014,2024-10-28T10:50:04.347Z,,,,277544
NC04014,2024-10-28T10:50:04.680Z,,,,265251
NC04014,2024-10-28T10:50:05.013Z,,,,247438
NC04014,2024-10-28T10:50:05.346Z,,,,246199
NC04014,2024-10-28T10:50:05.679Z,,,,241265
NC04014,2024-10-28T10:50:06.012Z,,,,240038
NC04014,2024-10-28T10:50:06.345Z,,,,240321
NC04014,2024-10-28T10:50:06.678Z,,,,239943
NC04014,2024-10-28T10:50:07.011Z,,,,238436
NC04014,2024-10-28T10:50:07.344Z,,,,233284
NC04014,2024-10-28T10:50:07.677Z,,,,232538
NC04014,2024-10-28T10:50:08.010Z,,,,233190
NC04014,2024-10-28T10:50:08.343Z,,,,234591
NC04014,2024-10-28T10:50:08.676Z,,,,232444
NC04014,2024-10-28T10:50:09.009Z,,,,230305
NC04014,2024-10-28T10:50:09.342Z,,,,230584
NC04014,2024-10-28T10:50:09.675Z,,,,230212
NC04014,2024-10-28T10:50:10.008Z,,,,229748
NC04014,2024-10-28T10:50:10.341Z,,,,231793
NC04014,2024-10-28T10:50:10.674Z,,,,242211
NC04014,2024-10-28T10:50:11.007Z,,,,252903
NC04014,2024-10-28T10:50:11.340Z,,,,256572
NC04014,2024-10-28T10:50:11.673Z,,,,254059
NC04014,2024-10-28T10:50:12.006Z,,,,243158
NC04014,2024-10-28T10:50:12.339Z,,,,234030
NC04014,2024-10-28T10:50:12.672Z,,,,231048
NC04014,2024-10-28T10:50:13.005Z,,,,231141
NC04014,2024-10-28T10:50:13.338Z,,,,231141
NC04014,2024-10-28T10:50:13.671Z,,,,236745
NC04014,2024-10-28T10:50:14.004Z,,,,240509
NC04014,2024-10-28T10:50:14.337Z,,,,238530
NC04014,2024-10-28T10:50:14.670Z,,,,246961
NC04014,2024-10-28T10:50:15.003Z,,,,245628
NC04014,2024-10-28T10:50:15.336Z,,,,236183
NC04014,2024-10-28T10:50:15.669Z,,,,238624
NC04014,2024-10-28T10:50:16.002Z,,,,254542
NC04014,2024-10-28T10:50:16.335Z,,,,275645
NC04014,2024-10-28T10:50:16.668Z,,,,280855
NC04014,2024-10-28T10:50:17.001Z,,,,257638
NC04014,2024-10-28T10:50:17.334Z,,,,232817
NC04014,2024-10-28T10:50:17.667Z,,,,224851
NC04014,2024-10-28T10:50:18.000Z,,,,237027
NC04014,2024-10-28T10:50:18.333Z,,,,245247
NC04014,2024-10-28T10:50:18.666Z,,,,237496
NC04014,2024-10-28T10:50:18.999Z,,,,229563
NC04014,2024-10-28T10:50:19.332Z,,,,211111
NC04014,2024-10-28T10:50:19.665Z,,,,202445
NC04014,2024-10-28T10:50:19.998Z,,,,202267
NC04014,2024-10-28T10:50:20.331Z,,,,203244
NC04014,2024-10-28T10:50:20.664Z,,,,204132
NC04014,2024-10-28T10:50:20.997Z,,,,206271
NC04014,2024-10-28T10:50:21.330Z,,,,215354
NC04014,2024-10-28T10:50:21.663Z,,,,224208
